	name	place_id	types	lat	long
71	IHG Army Hotels Camp Parks	ChIJSfJgPSDsj4ARVapHam2QY0k	[lodging, point_of_interest, establishment]	37.72046589999999	-121.9030416
72	Inn at the Presidio	ChIJ24LodCiHhYAR3sr-G5wBU7k	[lodging, point_of_interest, establishment]	37.7971118	-122.4578252
73	Inverness Valley Inn	ChIJJ1X-fL7PhYAR4qr4Encgco4	[lodging, point_of_interest, establishment]	38.1087844	-122.8707882
74	Janie and Jack	ChIJ6zMe3oWAhYARFmGR2bMt7qE	[clothing_store, store, point_of_interest, establishment]	37.7840744	-122.4068518
75	John McLaren Park	ChIJ67-gn-5-j4ARcyjzTqE8ZdU	[park, point_of_interest, establishment]	37.719309	-122.4193742
76	Just For You Cafe	ChIJL0eR87l_j4ARzVaL9P2vdDc	[cafe, restaurant, food, point_of_interest, establishment]	37.758087	-122.3888376
77	K&G Fashion Superstore	ChIJJRy8wclJ34cRVGNTUXpjcQU	[clothing_store, store, point_of_interest, establishment]	37.7750366	-122.229411
78	Kasa Indian Eatery	ChIJA1DNAxt-j4ARrzazmCpjz0g	[meal_delivery, restaurant, food, point_of_interest, establishment]	37.7609029	-122.4329164
79	Kelly Park	ChIJq8lDuLO8j4AR0OQehFz2fzk	[park, point_of_interest, establishment]	37.4785962	-122.1680456
80	Kennedy Park	ChIJQdC8kQaRj4ARO9iBDnjPSpE	[amusement_park, park, point_of_interest, establishment]	37.6680714	-122.1213757
81	L'Ardoise	ChIJ59pRbR1-j4ARKfQUFqmo33o	[bar, restaurant, food, point_of_interest, establishment]	37.7665713	-122.433042
82	La Costanera	ChIJB9aNIrZxj4ARI-lPUws_UqE	[bar, restaurant, food, point_of_interest, establishment]	37.5461223	-122.5140789
83	La Folie	ChIJZZ2-ReiAhYARtLafFKui04g	[restaurant, food, point_of_interest, establishment]	37.79814400000001	-122.4220082
84	Lafayette Park	ChIJC3O0GsGAhYAR4JK4ut4xPsM	[park, point_of_interest, establishment]	37.7916146	-122.4276133
85	Lena's Soul Food Cafe	ChIJSVfXqWaGj4ARTqDK1y_D_ls	[cafe, restaurant, food, point_of_interest, establishment]	37.7728843	-122.2134958
86	Lillie Mae's House of Soul Food	ChIJSXyr97rLj4AR4kaVdvnP5g4	[bar, restaurant, food, point_of_interest, establishment]	37.3572305	-121.9340167
87	Lingonberry Farm	ChIJkZe7ReTFhYARvpnBCO-CLZI	[lodging, point_of_interest, establishment]	38.0843789	-122.8097093
88	Lodging Innovations	ChIJz6YKzrTLj4ARbLEfUsRxK-U	[lodging, point_of_interest, establishment]	37.35751980000001	-121.94697
89	Loft	ChIJ-72fAGGAhYARQncxvLwE80Q	[clothing_store, store, point_of_interest, establishment]	37.7948513	-122.3964142
90	Madras Cafe	ChIJlbIO1Oi2j4ARp17Uf24xkHk	[restaurant, food, point_of_interest, establishment]	37.3743938	-122.0551927
91	Manka's Inverness Lodge	ChIJMy6lqJzPhYARExzvWXxEyQA	[lodging, point_of_interest, establishment]	38.1015277	-122.8592384
92	Marin Lodge	ChIJ8z23CuiZhYARb_QVrS8Ui_E	[lodging, point_of_interest, establishment]	37.98531759999999	-122.5259834
93	Mario's Bohemian Cigar Store Cafe	ChIJr6IFZPGAhYAR5e3y0GGJp8w	[cafe, restaurant, food, point_of_interest, establishment]	37.8002706	-122.4098789
94	Martuni's	ChIJf_3ZwZ-AhYARCTZKQkYvMDw	[bar, restaurant, food, point_of_interest, establishment]	37.7721084	-122.4228045
95	Matching Half Cafe	ChIJraGpLLKAhYARsWqJ-sBBQhM	[cafe, restaurant, store, food, bar, point_of_interest, establishment]	37.77723090000001	-122.4414266
96	Menlo Park Maintenance	ChIJLUokOk27j4AReFpr11KdA0w	[park, point_of_interest, establishment]	37.4541985	-122.1734551
